x_coord,y_coord,Diam_km
-177.43026,-54.403864,12.530069
-177.421542,-5.476199,15.01822
-177.408465,-2.041302,7.753457
-177.394162,14.315185,7.15361
-177.382697,42.306066,5.526789
-177.375772,-22.00991,6.401286
-177.366645,13.606642,10.137076
-177.353977,-17.40244,8.657016
-177.323078,38.589083,7.933621
-177.321285,-0.572317,10.584577
-177.297855,11.969427,5.42079
-177.26346,46.671974,8.701653
-177.249701,10.196923,8.8041
-177.234104,-14.220366,5.4168
-177.213013,22.482918,5.857532
-177.187887,-59.717969,6.952934
-177.180911,15.087932,7.182907
-177.168719,-51.171661,13.289287
-177.162181,2.311165,5.734467
-177.157981,41.810774,10.152743
-177.130465,51.83356,6.944535
-177.114232,-33.824996,15.174244
-177.091483,30.350266,8.983238
-177.090257,7.932104,5.573256
-177.088078,-11.550474,7.677506
-177.085898,-14.466649,5.521394
-177.061674,42.590401,19.009733
-177.057088,38.818384,5.035216
-177.055385,-2.516434,17.526238
-177.040129,6.286579,5.854593
-177.016154,-9.194431,13.220202
-177.003077,-52.191668,9.156277
-176.986004,34.035147,14.909761
-176.983462,-5.949151,7.420211
-176.979103,-24.252618,5.012351
-176.968205,-1.036551,11.571376
-176.966026,-1.659889,5.81497
-176.961667,-58.2812,7.64691
-176.933265,47.568545,7.688316
-176.930972,48.909961,13.542304
-176.914921,11.444325,7.916256
-176.910335,15.184239,6.651293
-176.876981,-59.766548,6.12801
-176.864474,38.733543,17.029553
-176.848423,24.528291,5.708568
-176.827786,59.26982,5.1164
-176.822178,3.804125,8.804531
-176.811735,52.280698,5.255636
-176.806922,-14.0678,13.331219
-176.800383,-9.848282,10.593702
-176.741537,5.122724,5.953208
-176.740651,34.755155,16.914085
-176.732819,-10.449825,17.081944
-176.717721,23.436814,16.545088
-176.703963,14.468817,6.67493
-176.636921,-27.746362,6.101639
-176.628203,-12.648944,5.876843
-176.614535,30.359438,13.202088
-176.604228,-25.185446,5.343405
-176.587019,43.514487,10.511045
-176.586485,-29.830137,7.060937
-176.583444,-48.353866,9.103104
-176.582433,32.485066,7.093372
-176.572309,-55.909529,6.929776
-176.571535,-55.922978,6.777439
-176.560638,-1.027833,12.090195
-176.55347,-31.623579,8.272961
-176.54974,-31.619339,8.544978
-176.529316,9.011893,11.019747
-176.527401,9.006846,11.136186
-176.514868,-11.169061,7.76395
-176.508412,-53.64234,6.445418
-176.50833,6.689787,8.842068
-176.495904,-6.659076,6.796705
-176.483181,-30.393516,7.99556
-176.451731,45.857952,5.216825
-176.446748,45.854698,5.102742
-176.41341,14.38328,10.538673
-176.411826,-31.875981,6.589837
-176.400906,15.132297,11.815739
-176.377152,17.779308,5.001292
-176.365394,51.654154,13.218376
-176.364798,11.184266,15.632284
-176.362182,-18.80666,6.616637
-176.36106,-25.065399,6.56784
-176.356974,15.693656,7.530385
-176.348333,8.662028,5.295421
-176.336436,31.628059,5.153563
-176.335227,-6.057749,14.306892
-176.327908,51.652411,15.056359
-176.317791,-17.669924,5.565324
-176.317764,-10.203981,6.685936
-176.317042,-33.141188,10.45651
-176.31217,-10.683426,6.062225
-176.297466,-0.000584,6.169761
-176.2874,19.588169,9.167285
-176.283896,25.589186,9.170151
-176.255754,57.328265,17.996302
-176.233168,7.45132,5.937561
-176.232908,-30.147504,9.517412
-176.228496,46.118102,6.821268
-176.207019,-57.341149,19.004488
-176.194239,42.968883,6.091797
-176.192282,25.103851,17.652503
-176.187626,-0.932551,11.088516
-176.159609,31.17529,5.366729
-176.118889,-13.664838,8.076297
-176.117205,-59.649958,13.352501
-176.113358,45.528885,5.25527
